population,totalPop,propOfTotalPop,CDF,diabetes_status_c,age65_c,ethnicity_c,gender_c,Educ_c,IPR_c,HHincome3_c,healthInsStatus_c,typeOfIns1_c,typeOfIns2_c,typeOfIns3_c,typeOfIns4_c,typeOfIns5_c,typeOfIns6_c,typeOfIns7_c,typeOfIns8_c,typeOfIns9_c,typeOfIns10_c,typeOfIns11_c,RxPlan_c,noInsLast12mos_c
9357.172352,303963264,3.08E-05,8.72E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans do not cover Rxs,
9290.296224,303963264,3.06E-05,8.72E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: Some College or AA degree,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
9279.077792,303963264,0.000030527,8.72E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,,2<=INDFMPIR<3,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
9267.095297,303963264,3.05E-05,8.72E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,1.5<=INDFMPIR<2,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
9234.098612,303963264,0.000030379,8.73E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,,3<=INDFMPIR<4,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Not Covered by health insurance,,,,,,,,,,,,,
9234.098612,303963264,0.000030379,8.73E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,Educ: Less Than High School,INDFMPIR<0.25,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans do not cover Rxs,
9234.098612,303963264,0.000030379,8.73E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,Educ: Some College or AA degree,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
9231.151199,303963264,3.04E-05,8.74E-02,"Undiagnosed, (-) Diabetes",65<=age,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
9222.214029,303963264,3.03E-05,8.74E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans do not cover Rxs,
9211.396748,303963264,3.03E-05,8.74E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,Educ: High school graduate or GED or equivalent,INDFMPIR<0.25,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
9197.014745,303963264,0.000030257,8.75E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),INDFMPIR<0.25,,Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
9195.050649,303963264,3.03E-05,8.75E-02,"Undiagnosed, (-) Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
9193.281242,303963264,3.02E-05,8.75E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,INDFMPIR<0.25,,Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
9188.339692,303963264,3.02E-05,8.75E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,1.5<=INDFMPIR<2,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Not Covered by health insurance,,,,,,,,,,,,,
9163.222335,303963264,3.01E-05,8.76E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,,2<=INDFMPIR<3,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,Time when no ins in past year
9151.581663,303963264,3.01E-05,8.76E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,Educ: High school graduate or GED or equivalent,2<=INDFMPIR<3,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
9151.581286,303963264,3.01E-05,8.76E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,,2<=INDFMPIR<3,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,Covered by single service plan,,Plans cover Rxs,Time when no ins in past year
9134.087336,303963264,0.00003005,8.77E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,,,,Plans cover Rxs,
9130.8608,303963264,3.00E-05,8.77E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,,INDFMPIR<0.25,,Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
9125.420899,303963264,3.00E-05,8.77E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),4<=INDFMPIR,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,,Covered by SCHIP,,,,,,,Plans cover Rxs,
9124.231423,303963264,3.00E-05,8.78E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans do not cover Rxs,Time when no ins in past year
9123.299095,303963264,3.00E-05,8.78E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,2<=INDFMPIR<3,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
9117.612887,303963264,3.00E-05,8.78E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,Educ: High school graduate or GED or equivalent,3<=INDFMPIR<4,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,Time when no ins in past year
9112.170796,303963264,3.00E-05,8.78E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: High school graduate or GED or equivalent,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
9063.292125,303963264,2.98E-05,8.79E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,Time when no ins in past year
9037.456727,303963264,2.97E-05,8.79E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,,,,Plans cover Rxs,
9036.685619,303963264,2.97E-05,8.79E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: Less Than High School,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,,,,Plans cover Rxs,
9032.934202,303963264,2.97E-05,8.80E-02,"Undiagnosed, (-) Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,INDFMPIR<0.25,,Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
9021.50043,303963264,2.97E-05,8.80E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans do not cover Rxs,
9012.396245,303963264,2.96E-05,8.80E-02,"Undiagnosed, (-) Diabetes",65<=age,Mexican American,Female,Educ: Some College or AA degree,INDFMPIR<0.25,,Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
8987.035352,303963264,2.96E-05,8.81E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Some College or AA degree,3<=INDFMPIR<4,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
8970.717262,303963264,2.95E-05,8.81E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: High School Grad/GED or Equivalent,INDFMPIR<0.25,,Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,Time when no ins in past year
8950.937038,303963264,2.94E-05,8.81E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
8946.399845,303963264,2.94E-05,8.81E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: Less Than High School,INDFMPIR<0.25,,Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
8876.588999,303963264,2.92E-05,8.82E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,2<=INDFMPIR<3,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans do not cover Rxs,
8864.897638,303963264,2.92E-05,8.82E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: Less Than High School,INDFMPIR<0.25,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
8863.583219,303963264,0.00002916,8.82E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,Educ: Less Than High School,0.25<=INDFMPIR<0.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
8819.714881,303963264,2.90E-05,8.83E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,,2<=INDFMPIR<3,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
8802.150735,303963264,2.90E-05,8.83E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,3<=INDFMPIR<4,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,Covered by single service plan,,Plans cover Rxs,
8775.823778,303963264,2.89E-05,8.83E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
8754.016011,303963264,2.88E-05,8.83E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Some College or AA degree,INDFMPIR<0.25,,,,,,,,,,,,,,,
8752.234594,303963264,2.88E-05,8.84E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,,,,Plans cover Rxs,
8742.267913,303963264,2.88E-05,8.84E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,,Time when no ins in past year
8734.900004,303963264,2.87E-05,8.84E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,Educ: Some College or AA degree,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
8703.324854,303963264,2.86E-05,8.85E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,,3<=INDFMPIR<4,"($100,000 and Over)<=HHincome",Not Covered by health insurance,,,,,,,,,,,,,
8695.360423,303963264,2.86E-05,8.85E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: Less Than High School,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,Time when no ins in past year
8695.249612,303963264,2.86E-05,8.85E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),0.25<=INDFMPIR<0.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
8685.181371,303963264,2.86E-05,8.85E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
8685.181371,303963264,2.86E-05,8.86E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
8685.181371,303963264,2.86E-05,8.86E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans do not cover Rxs,
8675.504397,303963264,2.85E-05,8.86E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),1<=INDFMPIR<1.5,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
8675.504397,303963264,2.85E-05,8.87E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),1<=INDFMPIR<1.5,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
8675.504397,303963264,2.85E-05,8.87E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Some College or AA degree,3<=INDFMPIR<4,"($100,000 and Over)<=HHincome",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
8663.799424,303963264,2.85E-05,8.87E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,INDFMPIR<0.25,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,Covered by other government insurance,,,Plans cover Rxs,
8660.680843,303963264,2.85E-05,8.87E-02,"Undiagnosed, (-) Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
8659.99154,303963264,2.85E-05,8.88E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: High School Grad/GED or Equivalent,0.25<=INDFMPIR<0.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
8638.533622,303963264,2.84E-05,8.88E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: Less Than High School,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,,Time when no ins in past year
8626.260467,303963264,2.84E-05,8.88E-02,"Undiagnosed, (-) Diabetes",65<=age,Mexican American,Female,Educ: Less Than High School,INDFMPIR<0.25,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
8608.346962,303963264,2.83E-05,8.89E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,INDFMPIR<0.25,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,,,,,
8587.203885,303963264,2.83E-05,8.89E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,Educ: Less Than High School,4<=INDFMPIR,"($100,000 and Over)<=HHincome",Covered by health insurance,Covered by pvt ins,,,,,,,,,Covered by single service plan,,Plans cover Rxs,Time when no ins in past year
8582.103113,303963264,0.000028234,8.89E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,0.25<=INDFMPIR<0.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans do not cover Rxs,Time when no ins in past year
8582.103113,303963264,0.000028234,8.89E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans do not cover Rxs,
8568.938053,303963264,2.82E-05,8.90E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
8563.287193,303963264,2.82E-05,8.90E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
8559.740694,303963264,2.82E-05,8.90E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
8556.96894,303963264,2.82E-05,8.91E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),4<=INDFMPIR,"($100,000 and Over)<=HHincome",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,Time when no ins in past year
8540.084459,303963264,2.81E-05,8.91E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,2<=INDFMPIR<3,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans do not cover Rxs,
8520.868035,303963264,2.80E-05,8.91E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,Educ: Less Than High School,0.25<=INDFMPIR<0.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans do not cover Rxs,
8503.020606,303963264,2.80E-05,8.91E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: High School Grad/GED or Equivalent,INDFMPIR<0.25,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,Time when no ins in past year
8490.411372,303963264,2.79E-05,8.92E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,INDFMPIR<0.25,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
8488.484714,303963264,0.000027926,8.92E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
8487.790886,303963264,2.79E-05,8.92E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),2<=INDFMPIR<3,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
8487.790886,303963264,2.79E-05,8.93E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Some College or AA degree,1.5<=INDFMPIR<2,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,Time when no ins in past year
8485.029167,303963264,2.79E-05,8.93E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
8484.240261,303963264,2.79E-05,8.93E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
8480.176631,303963264,2.79E-05,8.93E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,,INDFMPIR<0.25,,Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
8461.752266,303963264,2.78E-05,8.94E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,1.5<=INDFMPIR<2,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
8451.810645,303963264,2.78E-05,8.94E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: High school graduate or GED or equivalent,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
8448.330786,303963264,2.78E-05,8.94E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Some College or AA degree,4<=INDFMPIR,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
8407.247028,303963264,2.77E-05,8.94E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
8395.600766,303963264,2.76E-05,8.95E-02,"Undiagnosed, (-) Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,INDFMPIR<0.25,,Covered by health insurance,,Covered by Medicare,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
8385.317558,303963264,2.76E-05,8.95E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,Time when no ins in past year
8365.758384,303963264,2.75E-05,8.95E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: Some College or AA degree,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
8343.932884,303963264,2.75E-05,8.96E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: Less Than High School,4<=INDFMPIR,"($100,000 and Over)<=HHincome",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
8336.351266,303963264,2.74E-05,8.96E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Some College or AA degree,2<=INDFMPIR<3,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
8317.523893,303963264,2.74E-05,8.96E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans do not cover Rxs,
8312.43833,303963264,2.73E-05,8.96E-02,"Undiagnosed, (-) Diabetes",65<=age,Mexican American,Female,Educ: Less Than High School,0.25<=INDFMPIR<0.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
8307.276563,303963264,2.73E-05,8.97E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Female,,INDFMPIR<0.25,,Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
8306.192319,303963264,2.73E-05,8.97E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),4<=INDFMPIR,"($100,000 and Over)<=HHincome",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
8303.351351,303963264,0.000027317,8.97E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: High school graduate or GED or equivalent,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
8279.045572,303963264,0.000027237,8.98E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),3<=INDFMPIR<4,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans do not cover Rxs,
8274.239914,303963264,2.72E-05,8.98E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,Educ: High school graduate or GED or equivalent,INDFMPIR<0.25,,Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
8272.925352,303963264,2.72E-05,8.98E-02,"Undiagnosed, (-) Diabetes",0<=age<20yo,Mexican American,Male,,2<=INDFMPIR<3,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,Covered by single service plan,,Plans cover Rxs,
8261.997491,303963264,2.72E-05,8.98E-02,"Undiagnosed, (-) Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
